emotion,brightness,Soil moisture,count
,,,
angry,367,120.0716845878,0
,,,
angry,370,120.0716845878,0
,,,
angry,342,120.0716845878,0
,,,
angry,337,120.0716845878,0
,,,
angry,354,120.0716845878,0
,,,
happy,745,120.0716845878,0
,,,
happy,731,120.0716845878,0
,,,
happy,742,120.0716845878,0
,,,
happy,734,120.0716845878,0
,,,
happy,731,120.0716845878,1
,,,
happy,733,120.0716845878,1
,,,
happy,743,120.0716845878,1
,,,
happy,727,120.0716845878,1
,,,
happy,727,120.0716845878,0
,,,
happy,745,120.0716845878,1
,,,
happy,720,120.0716845878,1
,,,
happy,736,120.0716845878,1
,,,
happy,735,120.0716845878,1
,,,
happy,737,120.0716845878,1
,,,
happy,735,120.0716845878,1
,,,
happy,720,120.0716845878,1
,,,
happy,739,120.0716845878,1
,,,
happy,734,120.0716845878,1
,,,
happy,739,120.0716845878,1
,,,
happy,747,120.0716845878,1
,,,
happy,746,120.0716845878,1
,,,
happy,751,120.0716845878,1
,,,
happy,735,120.0716845878,1
,,,
happy,731,120.0716845878,1
,,,
happy,751,120.0716845878,1
,,,
happy,750,120.0716845878,1
,,,
happy,738,120.0716845878,1
,,,
happy,735,120.0716845878,1
,,,
happy,728,120.0716845878,0
,,,
happy,733,120.0716845878,0
,,,
happy,747,120.0716845878,1
,,,
happy,719,120.0716845878,0
,,,
happy,733,120.0716845878,0
,,,
happy,736,120.0716845878,0
,,,
happy,720,120.0716845878,0
,,,
happy,732,120.0716845878,0
